build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
719796629,4c57bdfab226e0568ff3a1e6d271dc2df80aea27,,arda-prenov2015,passed,157,2020-08-21 01:02:09 UTC,719796630,push
458144052,4d1657045eb93b43bef11280517278307b2104d4,99,master,passed,151,2018-11-21 21:18:58 UTC,458144053,pull_request
426484287,7603614ef71fefaa75518bd6b323b3ce1232bef9,95,master,passed,149,2018-09-10 00:49:40 UTC,426484288,pull_request
426482294,ba5b05038784923d19448bf3c471b0c02b4408e2,94,master,passed,148,2018-09-10 00:37:09 UTC,426482295,pull_request
426482062,d4ba18e113d3377175e61cf16b411bcdac1aa060,93,master,passed,149,2018-09-10 00:36:02 UTC,426482063,pull_request
420917525,5fdd4ff1986af22d4579a113534b6e192446dc76,92,master,passed,147,2018-08-27 02:14:30 UTC,420917526,pull_request
420912038,19e6b7b4f129c8f1c5adafbde427ac7822613054,91,master,passed,179,2018-08-27 01:38:26 UTC,420912039,pull_request
329910757,82dc30b6c83d2cada97f88cb82a83a8085164ca4,86,master,passed,165,2018-01-17 15:02:15 UTC,329910759,pull_request
305572243,63816890f67a5c1d6289b1303f1510e2f3deb332,,master,passed,175,2017-11-22 01:05:53 UTC,305572244,push
305565882,3a21d75a7634072f709504e3c99e3befdbebe69e,84,master,passed,123,2017-11-22 00:45:14 UTC,305565883,pull_request
305565873,6ec738804d234dd395f8691d624a1a1985913ca5,,scissors2,passed,145,2017-11-22 00:44:50 UTC,305565874,push
305564352,b9951e932ef8754e0d2436b98be1c4946245a57c,84,master,failed,108,2017-11-22 00:39:44 UTC,305564353,pull_request
305564131,93c86688d497932c98abbd275454d0cd78947545,,scissors2,failed,101,2017-11-22 00:38:54 UTC,305564132,push
305552791,bd2677a3fa3e6a4bc95b11d484f95b8d81874f9d,,master,passed,191,2017-11-22 00:05:07 UTC,305552792,push
283433629,05dbc68cc6d369873624a7f9938d993ba52ffeae,64,master,passed,126,2017-10-04 22:58:04 UTC,283433631,pull_request
283429862,a97ffdae76e92ed22ee8ecc400f49f4f50c39607,,master,passed,160,2017-10-04 22:48:28 UTC,283429863,push
283428295,acdfb4b155f02c7c90aa67da6f3b68f3f53a7048,83,master,passed,153,2017-10-04 22:43:50 UTC,283428297,pull_request
283428250,7c5390578e7b652703f2e3bf2e165755240c017b,,use-enum-loader-type,passed,132,2017-10-04 22:43:42 UTC,283428252,push
283067245,71c6d7c93426746ff35a26d90e240015b6c59e25,83,master,passed,150,2017-10-04 06:45:54 UTC,283067246,pull_request
283066082,8ed4692ccf60794e682fe2876d9597179b6be916,,use-enum-loader-type,passed,128,2017-10-04 06:39:35 UTC,283066083,push
283065508,c264687383bb907e45a0829814f59432f30baf83,,use-enum-loader-type,passed,124,2017-10-04 06:37:36 UTC,283065509,push
282940617,dcab9ea1f7726f8282d2867cf1f06ab5ba6a8a65,,master,passed,154,2017-10-03 21:43:26 UTC,282940618,push
282939114,071e1d37b682da43b2e167d1a54fbaf5f9898516,65,master,passed,126,2017-10-03 21:31:34 UTC,282939122,pull_request
282929447,6a2397e177f2a39b2e8b7262c7bfdb4ad445c8fa,65,master,failed,107,2017-10-03 21:15:26 UTC,282929448,pull_request
282924930,eabfd3a4740cbe27e4e098bf3daef233d84b53c7,,master,passed,178,2017-10-03 21:01:07 UTC,282924931,push
282924518,91e5e5f133a22406b96ed6c80131d38d34036ba4,,master,canceled,0,,282924519,push
282915805,b146f88bea26a8f18d219e07fbc3840642a354b6,82,master,passed,124,2017-10-03 20:42:44 UTC,282915806,pull_request
282497908,7b9ffa8599e117994f7a2042411d855aea5cd961,82,master,passed,122,2017-10-02 23:48:38 UTC,282497909,pull_request
282495413,2de32d4ffc692c9183aaab6f3d55ebda7041996a,82,master,passed,150,2017-10-02 23:40:30 UTC,282495414,pull_request
282493153,aa7c657f4becf74f4eb6e2f3445515e903e37863,81,master,passed,161,2017-10-02 23:30:59 UTC,282493154,pull_request
231369269,5356f9809554d1cc3de6cebae3073975e2cdc539,,master,passed,391,2017-05-11 23:25:15 UTC,231369270,push
231317855,56fbefdd4678a9af577e93d11c3168e7152da9b4,,master,passed,480,2017-05-11 20:54:18 UTC,231317858,push
219318886,649c941fc055bbcb6fb596fed2caa7846d456230,73,master,passed,381,2017-04-06 15:15:32 UTC,219318887,pull_request
219318353,a8cde4930c9f3ac87a41af7bf4536a5476380d40,73,master,passed,355,2017-04-06 15:13:54 UTC,219318354,pull_request
219317729,bf3530a12d6ca88706e6f9a61add66be5edf3e33,73,master,passed,367,2017-04-06 15:13:05 UTC,219317731,pull_request
216876908,32992c733db85a67296a26917fd2e101899c9621,74,master,passed,411,2017-03-30 18:25:09 UTC,216876909,pull_request
215981704,c7416096d5b8069744c1308ad152d91229962f99,73,master,passed,517,2017-03-28 15:27:14 UTC,215981705,pull_request
210223480,2324c20aa21af7b92b98788b1f081a48d65d5db0,71,master,passed,426,2017-03-12 09:46:23 UTC,210223482,pull_request
173597991,d539230875f195c7733336822dc4a6d8a49544e8,,master,passed,510,2016-11-06 02:08:12 UTC,173597992,push
173597886,27ae36a685df4689c3c12fd0deb08f51fa21a061,,master,passed,481,2016-11-06 02:07:03 UTC,173597887,push
173597846,ae13fde2168177e4c941cddc9a59ffa7aba199b7,,master,passed,560,2016-11-06 02:06:30 UTC,173597847,push
173597247,3a41ed2cb4983d7dde35f6d988b7832e9b24d5b3,62,master,passed,388,2016-11-06 01:59:02 UTC,173597248,pull_request
173161524,90753a4db5e0827626d87111181afc53f6ec1b7d,67,master,passed,484,2016-11-04 04:35:46 UTC,173161525,pull_request
173134579,91da28204d0795d65fe310c2c8130d38cb615fd4,62,master,passed,362,2016-11-04 01:00:24 UTC,173134580,pull_request
173133546,617d43777d6f31d800c09f71ee2fae41ff89de38,62,master,passed,367,2016-11-04 00:53:08 UTC,173133547,pull_request
172854558,b1d7313f5713c11b37b43b2d04e4f0d24aa377f5,66,master,passed,404,2016-11-03 07:00:38 UTC,172854559,pull_request
172817257,44cf3254ca63e091830ae34351e7dd6f9d43d2bf,65,master,passed,394,2016-11-03 01:51:56 UTC,172817258,pull_request
172459018,b5bc9999173314d69b6f937fd431196d76d2b7f4,64,master,passed,467,2016-11-01 23:17:47 UTC,172459019,pull_request
172375741,443469da96659d4b7e93dbdfabab194edf63667a,63,master,passed,520,2016-11-01 18:17:00 UTC,172375742,pull_request
172250398,20a1c6dea7fd376a112021fdc33adc461983c041,63,master,failed,357,2016-11-01 10:46:15 UTC,172250399,pull_request
171906169,a2c29690655fa2eb46f02db5d86417691dfe3596,62,master,passed,414,2016-10-31 06:37:26 UTC,171906170,pull_request
153167232,6d9ce3c8b3c5d5663cbc8ede4232e07e0571fba5,61,master,passed,395,2016-08-18 04:26:44 UTC,153167233,pull_request
146459737,c14c1ee3638351e0eee36fd0e86c4b63525badfc,,1.1.1,passed,367,2016-07-21 18:44:47 UTC,146459738,push
146459732,f8f54b37f8d3de693dd40e50caa5fcc7f01bd9e9,,master,passed,473,2016-07-21 18:44:46 UTC,146459733,push
146454946,39074ad5851c2bb0e3aca8e0bde79ed72ac4d589,,master,passed,511,2016-07-21 18:25:31 UTC,146454947,push
146453010,86fbfb281d33a3468eab0413fa479a77ac32cc47,59,master,passed,430,2016-07-21 18:17:15 UTC,146453028,pull_request
146452579,92c768f95c526e781706c8aa0694003e57a78269,,fix-initial-position,passed,420,2016-07-21 18:15:53 UTC,146452580,push
142113220,2f746fd36dc05f547d366283bdad4c6acf52f10f,57,master,passed,475,2016-07-04 03:46:25 UTC,142113221,pull_request
141583251,f71bd0588cd6589e924e1f9bfc589632efeaefa1,56,master,passed,451,2016-07-01 10:50:24 UTC,141583252,pull_request
134323535,267f707309093c42a83a4727b03d91a54ef944ba,,master,passed,460,2016-06-01 00:07:25 UTC,134323536,push
134292166,91340541314755cfee83ee0b454085fb216c6df8,51,master,passed,381,2016-05-31 21:23:53 UTC,134292167,pull_request
134022070,c7995f4a77c174a6062c4d2f88d728b820ff22f0,51,master,passed,393,2016-05-30 21:30:42 UTC,134022071,pull_request
134021872,00d50d1411ee428f3b4c6ac5fe2bde7826f76702,51,master,passed,370,2016-05-30 21:29:30 UTC,134021873,pull_request
134019290,57f67258d6bf7d2203f2829ad01507dfdb2c8d9d,51,master,failed,274,2016-05-30 21:14:20 UTC,134019291,pull_request
134018981,e0879e98297f2c13b147d86fd322400e847f516a,51,master,failed,325,2016-05-30 21:12:38 UTC,134018982,pull_request
134016520,4089a8f4874f5c6c52266cc0fbfa2992a487aa32,51,master,failed,296,2016-05-30 21:01:22 UTC,134016521,pull_request
129295950,8f6d3dbc8723a4c311fb471f359be9828548d407,,master,passed,397,2016-05-10 23:44:09 UTC,129295951,push
129295702,24fdc81bbfb02ef025c0016846e7761992186801,48,master,passed,339,2016-05-10 23:42:21 UTC,129295703,pull_request
129295690,5f72a3dfdcd23bee287ce7f6bd13eb6488f1000e,,update-readme-attr,passed,328,2016-05-10 23:42:07 UTC,129295691,push
125104538,94e0d559aacf4744c7ed2c6794c59f287f2377ab,,master,passed,445,2016-04-22 19:36:22 UTC,125104539,push
125101230,35894b3d2f93abc4515fe8d4d0a00fcd9c398398,46,master,passed,327,2016-04-22 19:19:32 UTC,125101231,pull_request
125101182,e7fd50bcb0c2ef774d393f94601fd0856447deb4,,cla-and-coc,passed,346,2016-04-22 19:19:18 UTC,125101183,push
123497056,7d948b28fa92fe1145abfde26c12fe8929cdd904,,1.1.0,passed,418,2016-04-16 02:22:17 UTC,123497057,push
123497054,3d0be50c17c4b5602bd5222aa6a798498a029100,,master,passed,507,2016-04-16 02:22:11 UTC,123497055,push
123496384,3d061a3b18d57eb58874defaa5f276523fc13d2a,,master,passed,406,2016-04-16 02:14:00 UTC,123496385,push
123496303,4d607a3b057b1df5d61fc435e96838b3c23b29c3,,master,passed,379,2016-04-16 02:12:53 UTC,123496304,push
123495760,a86283a1f303e288f0c04007bc031fbed36f034d,45,master,passed,329,2016-04-16 02:07:08 UTC,123495761,pull_request
123495733,04d505d898a12601a21a0fa376abed190fee0144,,fix-ratio-animation,passed,329,2016-04-16 02:06:48 UTC,123495734,push
123495706,2f36cb9c622c6e2a60ef0753980ea98c06580d4c,43,master,passed,434,2016-04-16 02:06:25 UTC,123495707,pull_request
123495704,29374a4d6cf20de6b2ef3a19e3bd643975c5bf32,,add-support-for-framework-fragments,passed,370,2016-04-16 02:06:25 UTC,123495705,push
123493905,e938b008df68658e52df9ded9a4c78e3ded05eab,43,master,passed,349,2016-04-16 01:46:55 UTC,123493906,pull_request
123493901,fea072d12a7eae7fa9399118f8e3d164aa771362,,add-support-for-framework-fragments,passed,363,2016-04-16 01:46:55 UTC,123493902,push
123493823,2bdbc8e8b40326fbdd6c53cb8009a95897043b5b,,master,passed,491,2016-04-16 01:46:09 UTC,123493824,push
123493073,4713063e1820abf00ff3c6a6b080fd0d8ad1fbdd,44,master,passed,354,2016-04-16 01:37:17 UTC,123493074,pull_request
123493069,eb89a21149b3adadc99fb289d5e387be95b969ac,,fix-ci,passed,340,2016-04-16 01:37:16 UTC,123493070,push
123492391,6c9d1986f59089b2a1c2dffb99a4393ce897ff9c,44,master,errored,314,2016-04-16 01:29:06 UTC,123492392,pull_request
123492385,297cc08c36da4ef804cf77511873df26628fd3cc,,fix-ci,errored,308,2016-04-16 01:29:05 UTC,123492386,push
123486990,cbd44b2002a8a93f924f9700c29b5b5b0993798f,44,master,failed,393,2016-04-16 00:43:54 UTC,123486991,pull_request
123486934,8a480954560895c910777787f1b44f59d08b325d,43,master,failed,142,2016-04-16 00:42:52 UTC,123486935,pull_request
123486929,9c5357b5d4656fc475fd40a2541d5cbfa91d871f,,add-support-for-framework-fragments,failed,111,2016-04-16 00:42:52 UTC,123486930,push
123486741,a331f15580e6fa99eebd507e1044c4fab85e9884,,fix-ci,failed,302,2016-04-16 00:41:28 UTC,123486742,push
123485435,3b8125b9d03257f67eea8feb84ac5dd5b4245fd5,43,master,failed,135,2016-04-16 00:29:50 UTC,123485436,pull_request
123485432,af9e5b9dd38a77faf7609efeea55bf25550b589c,,add-support-for-framework-fragments,failed,137,2016-04-16 00:29:50 UTC,123485433,push
123485109,b606033e652a9d8e6daa719deff250c0f38f674c,43,master,failed,165,2016-04-16 00:26:28 UTC,123485110,pull_request
123485107,b0917c091058f37de9720d2835f62480d1e6e15f,,add-support-for-framework-fragments,failed,145,2016-04-16 00:26:27 UTC,123485108,push
123484303,8bdbff6969c89d9b60dbbbd74961da4907a511c9,43,master,failed,142,2016-04-16 00:20:13 UTC,123484304,pull_request
123484301,b0763a67585d96bbabbd15427faff67fd5f07cf0,,add-support-for-framework-fragments,failed,147,2016-04-16 00:20:07 UTC,123484302,push
123482956,a3e03c626b91bf444f375810de3a7aa4da835821,43,master,failed,156,2016-04-16 00:09:02 UTC,123482957,pull_request
123482952,06ca7158a9313ab2a8286ba3c6c18a27b5d23633,,add-support-for-framework-fragments,failed,148,2016-04-16 00:08:51 UTC,123482953,push
123481971,15568fc9e57e4499dc24ea18c5055017e0f9af7d,43,master,failed,256,2016-04-16 00:02:54 UTC,123481972,pull_request
123481967,4c8e2e15f9c643dbeec7c346a040d6f0c24732ea,,add-support-for-framework-fragments,failed,259,2016-04-16 00:02:54 UTC,123481968,push
123476567,65770dce35d760c983a74195e56ddfd75d479b2d,43,master,failed,110,2016-04-15 23:22:22 UTC,123476568,pull_request
123476563,85c513fb29324bea4bd7e3932536779d12344ff9,,add-support-for-framework-fragments,failed,110,2016-04-15 23:22:22 UTC,123476564,push
123474590,8d36e4ac6aee96b747cfd8d1953742617f16488b,43,master,failed,113,2016-04-15 23:13:27 UTC,123474591,pull_request
123474588,035291a061495830fbfdaccc30790f358ea327f2,,add-support-for-framework-fragments,failed,96,2016-04-15 23:13:26 UTC,123474589,push
123473299,1da2453e86c7bdc0511c39361fdadf143d83c6a1,43,master,failed,121,2016-04-15 23:07:35 UTC,123473300,pull_request
123473297,2389995dd3fcbc004667ea06295bd752c6e71319,,add-support-for-framework-fragments,failed,125,2016-04-15 23:07:35 UTC,123473298,push
123458036,847a934c0da1466a387d1591f7a784b9ef0285e1,43,master,failed,129,2016-04-15 21:46:10 UTC,123458037,pull_request
123457982,948374e5d612629620a36f63581cd73ceafaa67a,,add-support-for-framework-fragments,failed,125,2016-04-15 21:46:10 UTC,123457983,push
123456696,f9126d8bb4daf1b96bd0d2dc585a3fdd99cde561,43,master,failed,79,2016-04-15 21:41:04 UTC,123456697,pull_request
123456657,295df19899767eb129bda3f602c9c6749b807a74,,add-support-for-framework-fragments,failed,81,2016-04-15 21:40:59 UTC,123456658,push
123412043,4d74e31efc17934765dcc00af0c38786d1657070,43,master,failed,112,2016-04-15 18:24:46 UTC,123412044,pull_request
