tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
35179109,35179110,100,440404a9816c5d2a9716b46e69bb8b76eea9c542,ruby,ok,,ruby,rspec,true,false,48,0,48,0,,,,"",0.11,
35179109,35179111,100,440404a9816c5d2a9716b46e69bb8b76eea9c542,ruby,ok,,ruby,rspec,true,false,48,0,48,0,,,,"",0.09,
35179109,35179112,100,440404a9816c5d2a9716b46e69bb8b76eea9c542,ruby,ok,,ruby,rspec,true,false,48,0,48,0,,,,"",0.07,
35179109,35179113,100,440404a9816c5d2a9716b46e69bb8b76eea9c542,ruby,ok,,ruby,rspec,true,false,48,0,48,0,,,,"",0.88,
35182086,35182087,101,53fd8acbe6e146cc8264fa3a5357f10cf2e1bee3,ruby,broken,,ruby,rspec,true,true,47,3,50,0,,,,"",2.06,
35182086,35182088,101,53fd8acbe6e146cc8264fa3a5357f10cf2e1bee3,ruby,broken,,ruby,rspec,true,true,47,3,50,0,,,,"",1.9,
35182086,35182089,101,53fd8acbe6e146cc8264fa3a5357f10cf2e1bee3,ruby,broken,,ruby,rspec,true,true,47,3,50,0,,,,"",1.69,
35182086,35182090,101,53fd8acbe6e146cc8264fa3a5357f10cf2e1bee3,java,broken,,java-ant,"",false,,,,,,,,,"",,
35197567,35197568,102,fc08b64ab9d498d77bed8be1a0e55d1d5d848a15,ruby,broken,,ruby,rspec,true,true,49,1,50,0,,,,"",2.55,
35197567,35197569,102,fc08b64ab9d498d77bed8be1a0e55d1d5d848a15,ruby,broken,,ruby,rspec,true,true,49,1,50,0,,,,"",2.19,
35197567,35197570,102,fc08b64ab9d498d77bed8be1a0e55d1d5d848a15,ruby,broken,,ruby,rspec,true,true,49,1,50,0,,,,"",1.9,
35197567,35197571,102,fc08b64ab9d498d77bed8be1a0e55d1d5d848a15,ruby,ok,,ruby,rspec,true,false,50,0,50,0,,,,"",17.27,
35197768,35197769,103,955d77b551d5e7cbe35048784525c4c23727ea99,ruby,ok,,ruby,rspec,true,false,50,0,50,0,,,,"",2.14,
35197768,35197770,103,955d77b551d5e7cbe35048784525c4c23727ea99,ruby,ok,,ruby,rspec,true,false,50,0,50,0,,,,"",2.1,
35197768,35197771,103,955d77b551d5e7cbe35048784525c4c23727ea99,ruby,ok,,ruby,rspec,true,false,50,0,50,0,,,,"",2.19,
35197768,35197772,103,955d77b551d5e7cbe35048784525c4c23727ea99,ruby,ok,,ruby,rspec,true,false,50,0,50,0,,,,"",15.39,
35232363,35232364,104,812a3b051975385ae8d03aff5701fc1261032f06,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
35232363,35232365,104,812a3b051975385ae8d03aff5701fc1261032f06,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",6.15,
35232363,35232366,104,812a3b051975385ae8d03aff5701fc1261032f06,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",6.64,
35232363,35232367,104,812a3b051975385ae8d03aff5701fc1261032f06,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
35232383,35232384,105,a202d4ad2d6a82ff61097a21a25b995b187e4243,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
35232383,35232385,105,a202d4ad2d6a82ff61097a21a25b995b187e4243,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",6.05,
35232383,35232386,105,a202d4ad2d6a82ff61097a21a25b995b187e4243,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",8.05,
35232383,35232387,105,a202d4ad2d6a82ff61097a21a25b995b187e4243,ruby,broken,,ruby,"",false,,,0,,,,,,"",,
35232679,35232680,106,e455bd29d7bf20334848af527ff9f17f40cedf1e,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",7.12,
35232679,35232681,106,e455bd29d7bf20334848af527ff9f17f40cedf1e,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",7.99,
35232679,35232682,106,e455bd29d7bf20334848af527ff9f17f40cedf1e,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",5.61,
35232679,35232683,106,e455bd29d7bf20334848af527ff9f17f40cedf1e,ruby,broken,,ruby,rspec,true,true,53,2,55,0,,,,"",35.72,
35233822,35233823,107,c4b80e62dad29f9b273472d0f1ac8afdc8c3785f,ruby,broken,,ruby,testunit#rspec,true,true,53,4,57,0,,,,"",7.78,
35233822,35233824,107,c4b80e62dad29f9b273472d0f1ac8afdc8c3785f,ruby,broken,,ruby,testunit#rspec,true,true,53,4,57,0,,,,"",7.93,
35233822,35233825,107,c4b80e62dad29f9b273472d0f1ac8afdc8c3785f,ruby,broken,,ruby,testunit#rspec,true,true,53,4,57,0,,,,"",5.66,
35233822,35233826,107,c4b80e62dad29f9b273472d0f1ac8afdc8c3785f,ruby,broken,,ruby,testunit#rspec,true,true,53,4,57,0,,,,"",37.82,
35234027,35234028,108,a62be47d85c4f1e6be6ef9861070049603a1dd63,ruby,ok,,ruby,rspec#cucumber,true,false,57,0,57,0,,,,"",10.040000000000001,
35234027,35234029,108,a62be47d85c4f1e6be6ef9861070049603a1dd63,ruby,ok,,ruby,rspec#cucumber,true,false,57,0,57,0,,,,"",8.3,
35234027,35234030,108,a62be47d85c4f1e6be6ef9861070049603a1dd63,ruby,ok,,ruby,rspec#cucumber,true,false,57,0,57,0,,,,"",9.21,
35234027,35234031,108,a62be47d85c4f1e6be6ef9861070049603a1dd63,ruby,broken,,ruby,rspec#cucumber,true,true,55,2,57,0,,,,features/cucumber.feature#features/cucumber.feature,19.89,
35238766,35238767,109,f785f79f8345da4d975fa3a50cf6a43bb671d7c2,ruby,ok,,ruby,rspec#cucumber,true,false,57,0,57,0,,,,"",9.75,
35238766,35238768,109,f785f79f8345da4d975fa3a50cf6a43bb671d7c2,ruby,ok,,ruby,rspec#cucumber,true,false,57,0,57,0,,,,"",9.530000000000001,
35238766,35238769,109,f785f79f8345da4d975fa3a50cf6a43bb671d7c2,ruby,ok,,ruby,rspec#cucumber,true,false,57,0,57,0,,,,"",7.5600000000000005,
35238766,35238770,109,f785f79f8345da4d975fa3a50cf6a43bb671d7c2,ruby,broken,,ruby,rspec#cucumber,true,true,55,2,57,0,,,,features/cucumber.feature#features/cucumber.feature,49.69,
4489232,4489233,10,46fb0dcb67400ccff950f0e269800b90f3b09418,unknown,unknown,,plain,"",false,,,,,,,,,"",,
4489232,4489235,10,46fb0dcb67400ccff950f0e269800b90f3b09418,unknown,unknown,,plain,"",false,,,,,,,,,"",,
4489232,4489236,10,46fb0dcb67400ccff950f0e269800b90f3b09418,unknown,unknown,,plain,"",false,,,,,,,,,"",,
4489232,4489238,10,46fb0dcb67400ccff950f0e269800b90f3b09418,unknown,unknown,,plain,"",false,,,,,,,,,"",,
35239206,35239207,110,7f356b02e93735d9424a1fb64c3e88e5186e3354,ruby,ok,,ruby,rspec#cucumber,true,true,59,2,61,0,,,,failing.feature#failing.feature,12.75,
35239206,35239208,110,7f356b02e93735d9424a1fb64c3e88e5186e3354,ruby,ok,,ruby,rspec#cucumber,true,true,59,2,61,0,,,,failing.feature#failing.feature,10.409999999999998,
35239206,35239209,110,7f356b02e93735d9424a1fb64c3e88e5186e3354,ruby,ok,,ruby,rspec#cucumber,true,true,59,2,61,0,,,,failing.feature#failing.feature,11.25,
35239206,35239210,110,7f356b02e93735d9424a1fb64c3e88e5186e3354,ruby,broken,,ruby,rspec#cucumber,true,true,57,2,59,0,,,,features/cucumber.feature#features/cucumber.feature,7.890000000000001,
35239394,35239395,111,98c7489bef4c5d1276e6931c09e1316ecd0b047b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",11.35,
35239394,35239396,111,98c7489bef4c5d1276e6931c09e1316ecd0b047b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.75,
35239394,35239397,111,98c7489bef4c5d1276e6931c09e1316ecd0b047b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.09,
35239394,35239398,111,98c7489bef4c5d1276e6931c09e1316ecd0b047b,ruby,broken,,ruby,rspec#cucumber,true,true,57,2,59,0,,,,features/cucumber.feature#features/cucumber.feature,6.19,
35239421,35239422,112,63bb05dcee7b3a9456102715461ff8db25be7218,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",11.040000000000001,
35239421,35239423,112,63bb05dcee7b3a9456102715461ff8db25be7218,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",13.18,
35239421,35239424,112,63bb05dcee7b3a9456102715461ff8db25be7218,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",11.200000000000001,
35239421,35239425,112,63bb05dcee7b3a9456102715461ff8db25be7218,ruby,broken,,ruby,rspec#cucumber,true,true,57,2,59,0,,,,features/cucumber.feature#features/cucumber.feature,55.46,
35239606,35239607,113,0a27d137e8c4e901cb92f53099197762d61960e3,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",12.26,
35239606,35239608,113,0a27d137e8c4e901cb92f53099197762d61960e3,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.24,
35239606,35239609,113,0a27d137e8c4e901cb92f53099197762d61960e3,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.58,
35239606,35239610,113,0a27d137e8c4e901cb92f53099197762d61960e3,ruby,broken,,ruby,rspec#cucumber,true,true,57,2,59,0,,,,features/cucumber.feature#features/cucumber.feature,20.33,
35240240,35240241,114,07b474caad1e2e0dfa3bc63fba2d5c7c374c2b3b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",14.28,
35240240,35240242,114,07b474caad1e2e0dfa3bc63fba2d5c7c374c2b3b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.23,
35240240,35240243,114,07b474caad1e2e0dfa3bc63fba2d5c7c374c2b3b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",8.959999999999999,
35240240,35240244,114,07b474caad1e2e0dfa3bc63fba2d5c7c374c2b3b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",66.61,
35240598,35240599,115,e4d6664bce96904c283c88884b346537c68e658b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",14.75,
35240598,35240600,115,e4d6664bce96904c283c88884b346537c68e658b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.34,
35240598,35240601,115,e4d6664bce96904c283c88884b346537c68e658b,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",9.18,
35240598,35240602,115,e4d6664bce96904c283c88884b346537c68e658b,ruby,broken,,ruby,rspec#cucumber,true,true,57,2,59,0,,,,features/cucumber.feature#features/cucumber.feature,40.26,
35241271,35241272,116,8aea3d6162e07e6e6d4c2f1efcec88197be32f82,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",11.65,
35241271,35241273,116,8aea3d6162e07e6e6d4c2f1efcec88197be32f82,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",10.739999999999998,
35241271,35241274,116,8aea3d6162e07e6e6d4c2f1efcec88197be32f82,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",9.79,
35241271,35241275,116,8aea3d6162e07e6e6d4c2f1efcec88197be32f82,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",91.45,
35270039,35270040,117,59a60a2968e5b5767bcb6dce9631a753dde7c1b4,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",15.06,
35270039,35270041,117,59a60a2968e5b5767bcb6dce9631a753dde7c1b4,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",13.71,
35270039,35270042,117,59a60a2968e5b5767bcb6dce9631a753dde7c1b4,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",8.85,
35270039,35270043,117,59a60a2968e5b5767bcb6dce9631a753dde7c1b4,ruby,ok,,ruby,rspec#cucumber,true,false,59,0,59,0,,,,"",57.46,
35555261,35555262,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",16.6,
35555261,35555263,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",15.16,
35555261,35555264,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",17.94,
35555261,35555265,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",20.42,
35555261,35555266,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",22.43,
35555261,35555267,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",13.53,
35555261,35555268,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
35555261,35555269,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",19.41,
35555261,35555270,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",18.93,
35555261,35555271,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",16.15,
35555261,35555272,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",24.14,
35555261,35555273,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",15.48,
35555261,35555274,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",14.16,
35555261,35555275,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",14.19,
35555261,35555276,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
35555261,35555277,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",16.95,
35555261,35555278,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",14.7,
35555261,35555279,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",12.82,
35555261,35555280,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",13.57,
35555261,35555281,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",13.54,
35555261,35555282,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",13.13,
35555261,35555283,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",13.49,
35555261,35555284,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,unknown,,ruby,"",false,,,0,,,,,,"",,
35555261,35555285,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",21.14,
35555261,35555286,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",34.3,
35555261,35555287,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",39.9,
35555261,35555288,118,6b7179286c0469e000fc4b7c4691c8fc5246698a,ruby,broken,,ruby,rspec,true,false,60,0,60,0,,,,"",16.9,
