tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
56978296,56978297,100,83601955499e983d77fbeaaaca4880c08fa125ae,go,ok,14,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
56978296,56978298,100,83601955499e983d77fbeaaaca4880c08fa125ae,go,ok,14,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
56978296,56978299,100,83601955499e983d77fbeaaaca4880c08fa125ae,go,ok,14,go,gotest,true,false,9,0,9,0,2,2,0,"",0.96,
56978296,56978300,100,83601955499e983d77fbeaaaca4880c08fa125ae,go,ok,13,go,gotest,true,false,9,0,9,0,2,2,0,"",0.8700000000000001,
56980323,56980324,101,e2da6aabc3823b5dd33e99d92e98b743a622a8f0,go,unknown,0,go,"",false,,,,,,,,,"",,
56980323,56980325,101,e2da6aabc3823b5dd33e99d92e98b743a622a8f0,go,unknown,0,go,"",false,,,,,,,,,"",,
56980323,56980326,101,e2da6aabc3823b5dd33e99d92e98b743a622a8f0,go,unknown,0,go,"",false,,,,,,,,,"",,
56980323,56980327,101,e2da6aabc3823b5dd33e99d92e98b743a622a8f0,go,unknown,0,go,"",false,,,,,,,,,"",,
56980368,56980369,102,8172bae02bb5cf77e3ef651183495b79bf456029,go,ok,13,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
56980368,56980370,102,8172bae02bb5cf77e3ef651183495b79bf456029,go,ok,30,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
56980368,56980371,102,8172bae02bb5cf77e3ef651183495b79bf456029,go,ok,19,go,gotest,true,false,9,0,9,0,2,2,0,"",1.05,
56980368,56980372,102,8172bae02bb5cf77e3ef651183495b79bf456029,go,ok,16,go,gotest,true,false,9,0,9,0,2,2,0,"",1.1300000000000001,
61461995,61461996,103,70fadfa56630552b62b2db6ca9f8775a5db84bd8,go,ok,22,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
61461995,61461999,103,70fadfa56630552b62b2db6ca9f8775a5db84bd8,go,ok,19,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
61461995,61462004,103,70fadfa56630552b62b2db6ca9f8775a5db84bd8,go,ok,32,go,gotest,true,false,9,0,9,0,2,2,0,"",1.42,
61461995,61462010,103,70fadfa56630552b62b2db6ca9f8775a5db84bd8,go,ok,29,go,gotest,true,false,9,0,9,0,2,2,0,"",1.1300000000000001,
62032691,62032692,104,319750283b5fbf4406af9cced74afa0f5a799796,go,ok,12,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
62032691,62032693,104,319750283b5fbf4406af9cced74afa0f5a799796,go,ok,15,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
62032691,62032694,104,319750283b5fbf4406af9cced74afa0f5a799796,go,ok,13,go,gotest,true,false,9,0,9,0,2,2,0,"",0.95,
62032691,62032695,104,319750283b5fbf4406af9cced74afa0f5a799796,go,ok,13,go,gotest,true,false,9,0,9,0,2,2,0,"",0.9199999999999999,
72622967,72622968,105,481ab2fd89bc9d95f024362db240a89c99637657,go,ok,15,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
72622967,72622969,105,481ab2fd89bc9d95f024362db240a89c99637657,go,ok,12,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
72622967,72622970,105,481ab2fd89bc9d95f024362db240a89c99637657,go,ok,11,go,gotest,true,false,9,0,9,0,2,2,0,"",0.8500000000000001,
72622967,72622971,105,481ab2fd89bc9d95f024362db240a89c99637657,go,ok,16,go,gotest,true,false,9,0,9,0,2,2,0,"",0.9099999999999999,
72723261,72723262,106,cdc5d903d06f76660e40a6b64e1e7f9e4084ac97,go,ok,14,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
72723261,72723263,106,cdc5d903d06f76660e40a6b64e1e7f9e4084ac97,go,ok,14,go,gotest,true,false,9,0,9,0,2,2,0,"",0,
72723261,72723264,106,cdc5d903d06f76660e40a6b64e1e7f9e4084ac97,go,ok,13,go,gotest,true,false,9,0,9,0,2,2,0,"",0.88,
72723261,72723265,106,cdc5d903d06f76660e40a6b64e1e7f9e4084ac97,go,ok,16,go,gotest,true,false,9,0,9,0,2,2,0,"",0.98,
89304805,89304810,107,680bd30a5bd7136387ab2aad025d20cf23bf9198,go,broken,16,go,gotest,true,true,0,2,2,0,0,0,0,github.com/otiai10/gosseract#github.com/otiai10/gosseract/tesseract/test,0,
89304805,89304811,107,680bd30a5bd7136387ab2aad025d20cf23bf9198,go,broken,17,go,gotest,true,true,0,2,2,0,0,0,0,github.com/otiai10/gosseract#github.com/otiai10/gosseract/tesseract/test,0,
89304805,89304813,107,680bd30a5bd7136387ab2aad025d20cf23bf9198,go,broken,15,go,gotest,true,true,0,2,2,0,0,0,0,github.com/otiai10/gosseract#github.com/otiai10/gosseract/tesseract/test,0,
89304805,89304815,107,680bd30a5bd7136387ab2aad025d20cf23bf9198,go,broken,15,go,gotest,true,true,0,2,2,0,0,0,0,github.com/otiai10/gosseract#github.com/otiai10/gosseract/tesseract/test,0.01,
89568502,89568503,108,dac2e0720443c310bbc45cde6882ee8245ba3ded,go,broken,12,go,gotest,true,true,0,2,2,0,0,0,0,github.com/otiai10/gosseract#github.com/otiai10/gosseract/tesseract/test,0,
