tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
154742345,154742346,1321,cbc22b66f71b2b3bb6d2c34ede6a05f6cf6d55f4,ruby,ok,4,ruby,"",false,,,0,,,,,,"",,
169927713,169927714,1322,80e3ede05a457b424fce416cf9cdb841ab25efea,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
169931381,169931382,1323,1a57e4abfc0d84680d77a0a5db10b56eeb68791d,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
169931499,169931500,1324,50c3e564e85ca9bfc9d565f1e681f31ddb968faa,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
169976892,169976893,1325,70563bf52b7fc0c2f3248dd741a55a05e54e6897,ruby,ok,3,ruby,"",false,,,0,,,,,,"",,
169976943,169976944,1326,5b6bdb3ea191575f03cfab2652980d27a612db61,ruby,ok,3,ruby,"",false,,,0,,,,,,"",,
173594089,173594090,1327,e99b536556b4529c164da195b93b9ba1c41c5edc,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
173638767,173638768,1328,70459b156a7cbedc3f9af1f454457063021db6cc,ruby,ok,3,ruby,"",false,,,0,,,,,,"",,
250624679,250624680,1329,0ed8364584d672e39af59ccbcd8b7f05fd357806,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
251947750,251947751,1330,a367441cbee68bf0c44cb122246d5e9d47ae3988,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
251952147,251952148,1331,b442ac4732fb70ce77cbc87fe99c74b2dbcf7754,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
251963066,251963067,1332,d5dee49b850cea8f9222caf07eb1d3c6e00c0f67,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
251964976,251964977,1333,ba986d07bb4a6e877e36d3b71aef689efca47856,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
252285738,252285739,1334,f76663f48465e972d19f63fc8f3ce5aecacd353d,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
256874510,256874511,1335,0985b275bd7a5651bc8b3e050ee8f128a1fd3a45,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
275185862,275185863,1336,c2e3bd739a0d9cb47a8d61d93e63be3c93013ac6,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
275426232,275426233,1337,61833a527c6ac0c44cc40793c034b81599c25efc,ruby,ok,5,ruby,"",false,,,0,,,,,,"",,
342805705,342805706,1338,85ae5bf4d43821142e5dafc37ccabefdeff6a18f,ruby,ok,1,ruby,"",false,,,0,,,,,,"",,
515574974,515574975,1339,94a8572b28bdc9e8195a6158d5a8ec7e8818401a,ruby,ok,0,ruby,"",false,,,0,,,,,,"",,
