build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
761517135,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,78,2021-03-05 00:51:33 UTC,761517136,cron
760524183,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,81,2021-02-26 00:51:02 UTC,760524185,cron
759565787,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,75,2021-02-19 01:22:48 UTC,759565788,cron
758618398,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,79,2021-02-12 01:32:46 UTC,758618399,cron
757628370,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,76,2021-02-05 01:21:14 UTC,757628371,cron
756656417,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,74,2021-01-29 03:45:22 UTC,756656419,cron
755623682,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,73,2021-01-22 02:07:14 UTC,755623683,cron
754555524,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,80,2021-01-15 00:59:32 UTC,754555525,cron
753454959,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,80,2021-01-08 00:53:19 UTC,753454960,cron
752342252,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,82,2021-01-01 00:46:26 UTC,752342253,cron
751413822,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,81,2020-12-25 00:45:48 UTC,751413823,cron
750321720,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,79,2020-12-18 01:13:33 UTC,750321721,cron
748906286,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,81,2020-12-11 02:26:48 UTC,748906287,cron
747537991,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,83,2020-12-04 02:07:31 UTC,747537993,cron
746736388,2dbec7981c86eeec05507d644bb3c191ef6aef17,67,master,errored,23,2020-11-30 12:56:44 UTC,746736389,pull_request
746179245,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,78,2020-11-27 01:31:29 UTC,746179247,cron
744782778,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,83,2020-11-20 02:14:42 UTC,744782781,cron
743307345,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,102,2020-11-13 01:36:19 UTC,743307347,cron
741772391,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,93,2020-11-06 01:07:08 UTC,741772392,cron
740073461,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,84,2020-10-30 01:26:23 UTC,740073468,cron
738181693,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,85,2020-10-23 01:20:39 UTC,738181694,cron
736221345,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,87,2020-10-16 00:40:20 UTC,736221346,cron
734148762,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,94,2020-10-09 00:39:55 UTC,734148763,cron
732117219,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,88,2020-10-02 00:38:58 UTC,732117220,cron
730120257,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,85,2020-09-25 00:38:00 UTC,730120266,cron
728191611,719ad75625fe51436b9a9479114b3d136847e11a,,master,errored,92,2020-09-18 00:38:00 UTC,728191612,cron
