build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
758121409,34cea7f36c43024ea2d27c25ac641c25ac25beb5,37,master,passed,34,2021-02-08 21:12:40 UTC,758121410,pull_request
757494195,ccd2184a4d5a293b41c3ff8123574093ecc90091,36,master,passed,34,2021-02-04 04:14:22 UTC,757494196,pull_request
753215611,c9b625feac49c586f44cdf3a810c56c4b2f94aa6,,master,passed,33,2021-01-06 17:05:23 UTC,753215612,push
753106694,d131533cced3d945d3ae782e8364c84218275479,,master,passed,31,2021-01-06 01:54:23 UTC,753106695,push
753100972,a402a0241ca865088f7ad6baab2cbce424aa6080,,master,failed,33,2021-01-06 01:07:59 UTC,753100973,push
748604610,021193c368432254fec463fc50ef2793032e1771,35,master,failed,34,2020-12-09 19:16:20 UTC,748604611,pull_request
748476088,9bae9c59c562a774c41726dcd18e4cd2cbfe66b2,35,master,failed,33,2020-12-09 04:35:03 UTC,748476089,pull_request
748476012,c18f8c26cde429a0932218efe8968c555b27c7bf,35,master,canceled,0,,748476013,pull_request
742159924,a41a8e457095657384a2cbce81cd3308dffcc662,34,master,errored,35,2020-11-08 00:15:59 UTC,742159925,pull_request
661776327,f281e1ae28653258ee842be7336391e59cfcca67,33,master,passed,27,2020-03-13 01:01:26 UTC,661776328,pull_request
661772926,fef8ca9b8dc036033c0e36da3bc3a82f6cd8b40d,33,master,passed,27,2020-03-13 00:49:13 UTC,661772927,pull_request
633829418,86c14f856589da450c7609b76d15f48c1c3cddcb,32,master,errored,34,2020-01-07 15:47:15 UTC,633829421,pull_request
569230152,445a9e2412c8e28de3e655eda24f0f0af59b6cac,29,master,passed,25,2019-08-08 08:05:18 UTC,569230158,pull_request
513297711,f041b81ae5e69ec5628a0e882a9d58f2950c11c5,,master,passed,66,2019-03-30 00:34:19 UTC,513297712,push
513297080,d69c13ef632a2c45e80dff49c4a7cfdf6c7d7329,,master,passed,23,2019-03-30 00:32:19 UTC,513297081,push
513292572,84c5efacc668a065c59f1e9bdd448f1c7d5e05cf,,master,passed,57,2019-03-30 00:19:32 UTC,513292573,push
184596983,bf295275fb1ee4e347c09330ed9a3c76cc19895a,,master,passed,23,2016-12-16 17:24:08 UTC,184596984,push
171200359,b38c8adacf6ec5fc35f5f505ca97f870958206b8,,master,passed,35,2016-10-27 20:07:47 UTC,171200361,push
170591649,ffb3dfbfa1de08204c05b4bb11a50c63e0955311,23,master,passed,30,2016-10-25 21:08:36 UTC,170591650,pull_request
169132697,e3ba5c68f3f3d090f9cc519f97cdcbef3387b32b,22,master,passed,40,2016-10-20 05:04:00 UTC,169132698,pull_request
160280880,e7050deb5538f2739cf054586f466b790c9d387c,,master,passed,24,2016-09-15 20:36:50 UTC,160280881,push
160262313,10424c7dc383cfc0d871f891f02c362cd5da3010,20,master,passed,29,2016-09-15 19:20:46 UTC,160262314,pull_request
149864553,83c3c7d653a71718e36191c7c0dc6773e65629f2,,master,passed,52,2016-08-04 20:24:58 UTC,149864554,push
149338649,045681bbaec987b6a2a446af31c1d1ff2510d696,18,master,passed,35,2016-08-02 23:37:41 UTC,149338650,pull_request
127829381,8d409ca53a740932c8e3a6cd1d8ea4c111f5e539,,master,passed,25,2016-05-04 15:40:25 UTC,127829382,push
126698584,485b48d623d0ec52c20fc14bd50217fcc5e3ad1b,16,master,passed,26,2016-04-29 16:22:10 UTC,126698585,pull_request
85930020,333a93f08e13e4389fb21bfa530140fc0b884582,,master,passed,4,2015-10-17 17:39:26 UTC,85930022,push
85861251,6c5bfa83b11dda2de7f7ec6c87ca50aed0baa859,13,master,passed,4,2015-10-17 03:44:46 UTC,85861252,pull_request
77411445,463b28194bdc57bd431b638b80fcbb20eeb0790a,,master,passed,3,2015-08-26 22:21:58 UTC,77411452,push
77407467,02798b9f11934b04bb07562f0965aa79604edbec,12,master,passed,4,2015-08-26 21:56:37 UTC,77407468,pull_request
68357186,deaea09b3413c10d7533f9445eb8e63c31b9f9b0,11,master,passed,5,2015-06-25 19:22:26 UTC,68357188,pull_request
63793703,93817829dda26f84b9f4155af27e44e5619233c2,,master,passed,4,2015-05-23 19:22:33 UTC,63793704,push
63787373,b197ddd049332de66bb5a519fb9fcbc879a07423,10,master,passed,6,2015-05-23 17:47:02 UTC,63787374,pull_request
57369329,7c966756f0f9807f219c10ad76d2db4f8e410e1a,,master,passed,5,2015-04-06 18:04:14 UTC,57369330,push
57358344,11f95c8008d1468cde3be993beff0aed27dca944,8,master,passed,9,2015-04-06 16:52:48 UTC,57358345,pull_request
56432350,7761197a6763c723349ea64cb8c4a3d1fc35cee9,,master,errored,8,2015-03-30 16:06:01 UTC,56432351,push
56222387,537060826e9e5c333e508d3a581e5bf9cec812d3,6,master,errored,8,2015-03-28 16:09:51 UTC,56222388,pull_request
50859790,1bf65c3c13880ca75c477fce62324d268c36c5dc,,master,passed,8,2015-02-15 19:18:58 UTC,50859791,push
50859487,39d900cf48757d0d62eb2f26aebaecd8328157ac,,master,errored,6,2015-02-15 19:12:48 UTC,50859488,push
50858893,9fb2fdcaa607106ae4964ff316568341bbf8e62a,,master,errored,7,2015-02-15 19:13:26 UTC,50858894,push
