tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
652560623,652560624,1064,c310df4acba9f199f9d6c6336f26c2ba3dbe49b6,go,broken,1,go,"",false,,,,,,,,,"",,
652560623,652560625,1064,c310df4acba9f199f9d6c6336f26c2ba3dbe49b6,go,broken,1,go,"",false,,,,,,,,,"",,
652560623,652560626,1064,c310df4acba9f199f9d6c6336f26c2ba3dbe49b6,go,broken,0,go,"",false,,,,,,,,,"",,
652560623,652560627,1064,c310df4acba9f199f9d6c6336f26c2ba3dbe49b6,go,broken,0,go,"",false,,,,,,,,,"",,
652592037,652592039,1065,cf78fbd971c723e421bd65fd5a13efe6e4bcabdf,go,broken,0,go,"",false,,,,,,,,,"",,
652592037,652592040,1065,cf78fbd971c723e421bd65fd5a13efe6e4bcabdf,go,broken,1,go,"",false,,,,,,,,,"",,
652592037,652592041,1065,cf78fbd971c723e421bd65fd5a13efe6e4bcabdf,go,broken,1,go,"",false,,,,,,,,,"",,
652592037,652592042,1065,cf78fbd971c723e421bd65fd5a13efe6e4bcabdf,go,broken,1,go,"",false,,,,,,,,,"",,
652593495,652593496,1066,97473974227ec8a23203a58c484a2cda02f494de,go,broken,1,go,"",false,,,,,,,,,"",,
652593495,652593497,1066,97473974227ec8a23203a58c484a2cda02f494de,go,broken,1,go,"",false,,,,,,,,,"",,
652593495,652593498,1066,97473974227ec8a23203a58c484a2cda02f494de,go,broken,1,go,"",false,,,,,,,,,"",,
652593495,652593500,1066,97473974227ec8a23203a58c484a2cda02f494de,go,broken,0,go,"",false,,,,,,,,,"",,
652678643,652678644,1067,30a0894e00a3d4fa0335b30af435ee7cd9ad2ac3,go,broken,1,go,"",false,,,,,,,,,"",,
652678643,652678645,1067,30a0894e00a3d4fa0335b30af435ee7cd9ad2ac3,go,broken,1,go,"",false,,,,,,,,,"",,
652678643,652678646,1067,30a0894e00a3d4fa0335b30af435ee7cd9ad2ac3,go,broken,1,go,"",false,,,,,,,,,"",,
