build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
404798140,8115eabc2fe81c6953edd7b8daacdce6ca4180ff,,master,passed,432,2018-07-17 09:03:12 UTC,404798141,push
404798121,8115eabc2fe81c6953edd7b8daacdce6ca4180ff,,1.7.0,passed,440,2018-07-17 09:02:17 UTC,404798122,push
404794540,175620e04cb5e9a32ae241e218bd6f91897a7fb9,,master,passed,423,2018-07-17 08:51:54 UTC,404794541,push
404792983,28de683854cfbf9cd631f09420efc2f92ad4ca1e,,master,passed,376,2018-07-17 08:47:47 UTC,404792984,push
404790112,1c02c3ddb1cf7a3c557ee8da3910432232b8d11d,102,master,passed,378,2018-07-17 08:40:21 UTC,404790113,pull_request
404789853,0366ff297a2c7aa9f076af8eb32afcf3f88a2304,,rc/disble-logging,passed,406,2018-07-17 08:39:40 UTC,404789854,push
404533582,6fff1df38a760979127f2986cc6ebab694882714,101,master,passed,429,2018-07-16 17:03:40 UTC,404533583,pull_request
404533074,7115c6d932c904661f03cbb3ed75c8891e4fb56b,,rc/gradle-incap,passed,426,2018-07-16 17:01:37 UTC,404533075,push
404532208,00dad3bff0673f013dff6595597573b13b343c48,,master,passed,468,2018-07-16 16:59:20 UTC,404532209,push
404518931,46a0c03f262b4f82c262376f968f4edfcf457d05,100,master,passed,431,2018-07-16 16:24:59 UTC,404518932,pull_request
404517614,4bdde6439d97e31bea39714c01925ebc4d48cebb,,rc/java8,passed,433,2018-07-16 16:22:28 UTC,404517615,push
404513949,8264d072e49f6f8d850b8e83b15ed3fe7313b606,,master,passed,377,2018-07-16 16:12:52 UTC,404513950,push
404503111,5f820fd451d5cd9558445753cbcd9dc3d4e9c18b,99,master,passed,416,2018-07-16 15:47:17 UTC,404503116,pull_request
404503073,e17003b5dcfacac5fdc2fde6042fba756eca14f9,,rc/update-gradle-and-libs,passed,398,2018-07-16 15:47:08 UTC,404503074,push
404497865,c1ca59e992dd7c56680e1d6d73dfc0edefaf6b13,99,master,failed,232,2018-07-16 15:34:14 UTC,404497867,pull_request
