tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
703564199,703564200,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,ok,1,go,"",false,,,,,,,,,"",,
703564199,703564201,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,ok,2,go,"",false,,,,,,,,,"",,
703564199,703564202,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,unknown,0,go,gotest,true,false,0,0,,0,106,106,0,"",73.39,
703564199,703564203,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,ok,0,go,gotest,true,false,0,0,,0,106,106,0,"",50.919999999999995,
703564199,703564204,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,ok,2,go,gotest,true,false,0,0,,0,106,106,0,"",173.75999999999996,
703564199,703564205,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,ok,1,go,"",false,,,,,,,,,"",,
703564199,703564206,5039,d5e37a7c17a4e1d59aeb71b5076be5c9b180a3e3,go,ok,2,go,"",false,,,,,,,,,"",,
704095252,704095253,5069,232628202bfd52846a86959ad446a433e1800941,go,ok,1,go,"",false,,,,,,,,,"",,
704095252,704095254,5069,232628202bfd52846a86959ad446a433e1800941,go,unknown,0,go,gotest,true,false,0,0,,0,107,107,0,"",66.15999999999998,
704095252,704095255,5069,232628202bfd52846a86959ad446a433e1800941,go,ok,0,go,gotest,true,false,0,0,,0,107,107,0,"",45.44999999999998,
704095252,704095256,5069,232628202bfd52846a86959ad446a433e1800941,go,ok,0,go,"",false,,,,,,,,,"",,
704099287,704099288,5072,86a3aa33ad7603fccc02a1d520a763863e9354af,go,ok,1,go,"",false,,,,,,,,,"",,
704099287,704099289,5072,86a3aa33ad7603fccc02a1d520a763863e9354af,go,unknown,0,go,gotest,true,false,0,0,,0,107,107,0,"",63.55000000000002,
704099287,704099290,5072,86a3aa33ad7603fccc02a1d520a763863e9354af,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",46.42999999999999,
704099287,704099291,5072,86a3aa33ad7603fccc02a1d520a763863e9354af,go,ok,1,go,"",false,,,,,,,,,"",,
704107367,704107368,5074,5fb57458fe6905b00139d7c1062e77d8b3068a5a,go,ok,1,go,"",false,,,,,,,,,"",,
704107367,704107369,5074,5fb57458fe6905b00139d7c1062e77d8b3068a5a,go,unknown,1,go,gotest,true,false,0,0,,0,107,107,0,"",68.28000000000003,
704107367,704107370,5074,5fb57458fe6905b00139d7c1062e77d8b3068a5a,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",44.56999999999999,
704107367,704107371,5074,5fb57458fe6905b00139d7c1062e77d8b3068a5a,go,ok,1,go,"",false,,,,,,,,,"",,
704107367,704107372,5074,5fb57458fe6905b00139d7c1062e77d8b3068a5a,go,ok,1,go,gotest,true,false,0,0,,0,1,1,0,"",0,
704108000,704108006,5075,8d39ab3d32f1f24b14090190169bd1fd30932b89,go,ok,1,go,"",false,,,,,,,,,"",,
704108000,704108007,5075,8d39ab3d32f1f24b14090190169bd1fd30932b89,go,unknown,1,go,gotest,true,false,0,0,,0,107,107,0,"",66.1,
704108000,704108008,5075,8d39ab3d32f1f24b14090190169bd1fd30932b89,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",41.79999999999999,
704108000,704108011,5075,8d39ab3d32f1f24b14090190169bd1fd30932b89,go,ok,1,go,"",false,,,,,,,,,"",,
704113586,704113587,5076,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,"",false,,,,,,,,,"",,
704113586,704113588,5076,395472b377f197591c54bf914c80d4bd043fa9e8,go,unknown,1,go,gotest,true,false,0,0,,0,107,107,0,"",59.22000000000002,
704113586,704113589,5076,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,2,go,gotest,true,false,0,0,,0,107,107,0,"",50.08,
704113586,704113590,5076,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,"",false,,,,,,,,,"",,
704113586,704113591,5076,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,gotest,true,false,0,0,,0,1,1,0,"",0,
704126535,704126536,5077,15a48eee0ee5ab1424a4fb6484d0e089acd1bfd1,go,ok,1,go,"",false,,,,,,,,,"",,
704126535,704126537,5077,15a48eee0ee5ab1424a4fb6484d0e089acd1bfd1,go,unknown,1,go,gotest,true,false,0,0,,0,107,107,0,"",57.269999999999996,
704126535,704126538,5077,15a48eee0ee5ab1424a4fb6484d0e089acd1bfd1,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",45.39000000000001,
704126535,704126539,5077,15a48eee0ee5ab1424a4fb6484d0e089acd1bfd1,go,ok,1,go,"",false,,,,,,,,,"",,
704157321,704157322,5078,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,"",false,,,,,,,,,"",,
704157321,704157323,5078,395472b377f197591c54bf914c80d4bd043fa9e8,go,unknown,2,go,gotest,true,false,0,0,,0,107,107,0,"",60.83000000000001,
704157321,704157324,5078,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",40.880000000000024,
704157321,704157325,5078,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,"",false,,,,,,,,,"",,
704157321,704157326,5078,395472b377f197591c54bf914c80d4bd043fa9e8,go,ok,1,go,gotest,true,false,0,0,,0,1,1,0,"",0,
704319877,704319878,5079,0ad7725915849b6065c6b48d579280f6f109921c,go,ok,1,go,"",false,,,,,,,,,"",,
704319877,704319879,5079,0ad7725915849b6065c6b48d579280f6f109921c,go,unknown,0,go,gotest,true,false,0,0,,0,107,107,0,"",68.93000000000002,
704319877,704319880,5079,0ad7725915849b6065c6b48d579280f6f109921c,go,ok,0,go,gotest,true,false,0,0,,0,107,107,0,"",40.939999999999976,
704319877,704319881,5079,0ad7725915849b6065c6b48d579280f6f109921c,go,ok,1,go,"",false,,,,,,,,,"",,
704357510,704357511,5080,cdeffc19d38aa04a52b0cee76e4806ada7f20110,go,ok,1,go,"",false,,,,,,,,,"",,
704357510,704357512,5080,cdeffc19d38aa04a52b0cee76e4806ada7f20110,go,unknown,0,go,gotest,true,false,0,0,,0,106,106,0,"",63.889999999999986,
704357510,704357513,5080,cdeffc19d38aa04a52b0cee76e4806ada7f20110,go,ok,1,go,gotest,true,false,0,0,,0,106,106,0,"",39.839999999999996,
704357510,704357515,5080,cdeffc19d38aa04a52b0cee76e4806ada7f20110,go,ok,0,go,"",false,,,,,,,,,"",,
704362353,704362354,5081,dde4334d3dc27f250763ceb34bd7c2fd615e9a95,go,ok,1,go,"",false,,,,,,,,,"",,
704362353,704362355,5081,dde4334d3dc27f250763ceb34bd7c2fd615e9a95,go,unknown,1,go,gotest,true,false,0,0,,0,5,5,0,"",1.7000000000000002,
704362353,704362356,5081,dde4334d3dc27f250763ceb34bd7c2fd615e9a95,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",42.62,
704362353,704362357,5081,dde4334d3dc27f250763ceb34bd7c2fd615e9a95,unknown,unknown,,plain,"",false,,,,,,,,,"",,
704362444,704362445,5082,f00a8c97dcf73c2ded9d6ff5c0ea6c984d0ae2fa,go,ok,1,go,"",false,,,,,,,,,"",,
704362444,704362446,5082,f00a8c97dcf73c2ded9d6ff5c0ea6c984d0ae2fa,go,unknown,1,go,gotest,true,false,0,0,,0,107,107,0,"",82.45,
704362444,704362447,5082,f00a8c97dcf73c2ded9d6ff5c0ea6c984d0ae2fa,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",42.07,
704362444,704362448,5082,f00a8c97dcf73c2ded9d6ff5c0ea6c984d0ae2fa,go,ok,2,go,"",false,,,,,,,,,"",,
704362444,704362449,5082,f00a8c97dcf73c2ded9d6ff5c0ea6c984d0ae2fa,go,ok,1,go,gotest,true,false,0,0,,0,1,1,0,"",0,
704365993,704365994,5083,eadb9bf6e2af25d1434ca44d26db329658cc3a79,go,broken,0,go,"",false,,,,,,,,,"",,
704365993,704365995,5083,eadb9bf6e2af25d1434ca44d26db329658cc3a79,go,unknown,0,go,gotest,true,false,0,0,,0,106,106,0,"",62.24999999999997,
704365993,704365996,5083,eadb9bf6e2af25d1434ca44d26db329658cc3a79,go,ok,1,go,gotest,true,false,0,0,,0,106,106,0,"",41.02,
704365993,704365997,5083,eadb9bf6e2af25d1434ca44d26db329658cc3a79,unknown,unknown,,plain,"",false,,,,,,,,,"",,
704372019,704372020,5084,117b6eb7bc4175b1d50c8c33d3f9ea7092c70164,go,ok,1,go,"",false,,,,,,,,,"",,
704372019,704372021,5084,117b6eb7bc4175b1d50c8c33d3f9ea7092c70164,go,unknown,0,go,gotest,true,false,0,0,,0,107,107,0,"",60.78000000000002,
704372019,704372022,5084,117b6eb7bc4175b1d50c8c33d3f9ea7092c70164,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",42.14000000000001,
704372019,704372023,5084,117b6eb7bc4175b1d50c8c33d3f9ea7092c70164,go,ok,1,go,"",false,,,,,,,,,"",,
704374893,704374894,5085,bdd588f6edd8b32f969f252a8f5f59143021b0eb,go,ok,1,go,"",false,,,,,,,,,"",,
704374893,704374895,5085,bdd588f6edd8b32f969f252a8f5f59143021b0eb,go,unknown,1,go,gotest,true,false,0,0,,0,107,107,0,"",90.82,
704374893,704374896,5085,bdd588f6edd8b32f969f252a8f5f59143021b0eb,go,ok,1,go,gotest,true,false,0,0,,0,107,107,0,"",45.3,
704374893,704374897,5085,bdd588f6edd8b32f969f252a8f5f59143021b0eb,go,ok,1,go,"",false,,,,,,,,,"",,
704377614,704377615,5086,9ea12f147ada35844de69f3cd9fc2f0236f1bdc1,go,ok,1,go,"",false,,,,,,,,,"",,
704377614,704377616,5086,9ea12f147ada35844de69f3cd9fc2f0236f1bdc1,go,unknown,0,go,gotest,true,false,0,0,,0,106,106,0,"",66.97000000000004,
704377614,704377617,5086,9ea12f147ada35844de69f3cd9fc2f0236f1bdc1,go,ok,1,go,gotest,true,false,0,0,,0,106,106,0,"",39.97,
704377614,704377618,5086,9ea12f147ada35844de69f3cd9fc2f0236f1bdc1,go,ok,1,go,"",false,,,,,,,,,"",,
704385253,704385254,5087,906d60eba95b4ea83b2c00563c8c2878e579340f,go,ok,1,go,"",false,,,,,,,,,"",,
704385253,704385255,5087,906d60eba95b4ea83b2c00563c8c2878e579340f,go,unknown,0,go,gotest,true,false,0,0,,0,106,106,0,"",67.95,
704385253,704385256,5087,906d60eba95b4ea83b2c00563c8c2878e579340f,go,ok,1,go,gotest,true,false,0,0,,0,106,106,0,"",36.24,
704385253,704385257,5087,906d60eba95b4ea83b2c00563c8c2878e579340f,go,ok,1,go,"",false,,,,,,,,,"",,
704385937,704385938,5088,42e881702c903e2116fb3720a75183b7ff8575db,go,ok,2,go,"",false,,,,,,,,,"",,
704385937,704385939,5088,42e881702c903e2116fb3720a75183b7ff8575db,go,unknown,2,go,gotest,true,false,0,0,,0,107,107,0,"",71.64999999999999,
