tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
254472131,254472132,10,3a68342527733b64d17efc40575e06829a114c96,java,unknown,0,java-gradle,"",false,,,0,,,,,,"",,
254677126,254677127,11,3ed07370b6bdd6d9e11b1cb82c734904039534ad,android,ok,0,plain,"",false,,,,,,,,,"",,
254678837,254678838,12,9824ecbf9250bf727ffe5e96700bee0bcc874ecc,android,broken,1,plain,"",false,,,,,,,,,"",,
254679058,254679060,13,1d7ddb54c04976af1f5e7480907d9f49c45ec4ae,android,unknown,0,plain,"",false,,,,,,,,,"",,
254679119,254679120,14,678646d3a2038af6fa73453ff69343a25b77ceb4,android,broken,0,plain,"",false,,,,,,,,,"",,
254679150,254679151,15,85c2bc5cf8f34dee4cafab34394e42fee3c66391,android,broken,0,plain,"",false,,,,,,,,,"",,
254679808,254679809,16,9807edd0b7bc50ef1b482d8d79552eb83fe1b86f,android,ok,1,plain,"",false,,,,,,,,,"",,
254679810,254679811,17,95eee2f70dca91fa6f3a9799da8f14c6b7744b52,android,ok,0,plain,"",false,,,,,,,,,"",,
254684302,254684303,18,95229e9d718d0b3e541c480f8a359f6fa28109c6,android,ok,1,plain,"",false,,,,,,,,,"",,
257782733,257782734,19,6d8525f207816c5da1d9564f7e34a545b4e1c43e,android,broken,1,plain,"",false,,,,,,,,,"",,
252973107,252973108,1,bf796e36f4db4bbaa552055db3ebeb701a21a012,java,unknown,1,java-gradle,"",false,,,0,,,,,,"",,
257784548,257784549,20,c3d920d8a73c46c16677f5c53b6b9923ddd79dfb,android,broken,0,plain,"",false,,,,,,,,,"",,
374631920,374631921,21,a8a6061090e7b0e292fa69c194da3226e98a6519,android,broken,0,plain,"",false,,,,,,,,,"",,
374632546,374632547,22,14d3366ab71e6d9c9b37cd8dd638ee88f48b47e9,android,broken,1,plain,"",false,,,,,,,,,"",,
406392588,406392594,23,7da4815de5b88f9a88656be111c3fb1e6a3892e2,android,broken,0,plain,"",false,,,,,,,,,"",,
406402363,406402366,24,0f122477a822ad007939463d18a8d88ab9d97ed1,android,unknown,0,plain,"",false,,,,,,,,,"",,
406406384,406406392,25,1cdc4a862114beaf9e82175f7067d1fbc7b79692,android,broken,0,plain,"",false,,,,,,,,,"",,
406413800,406413811,26,5d90cac3daa4f61b52277771cdc7a430cf2e3396,android,ok,0,plain,"",false,,,,,,,,,"",,
406418685,406418689,27,4408bab152c8ec3b6c19149675cdb14230133586,android,ok,0,plain,"",false,,,,,,,,,"",,
475015753,475015754,28,15d1ef701af3d37f2ffb06a1acf4e09d3784fba3,android,broken,0,plain,"",false,,,,,,,,,"",,
475045727,475045728,29,be6cc6ad84f9d3471a9ef6ec4290ae9ec8e27262,android,broken,0,plain,"",false,,,,,,,,,"",,
