build_id,commit,pull_req,branch,status,duration,started_at,jobs,event_type
687578108,858fd973378a2f74a35e6acededa051163df1801,,release-12.9.0,passed,609,2020-05-15 19:37:52 UTC,687578109,push
687576542,cefadb48463de180e2f07a6d140a5abbdbf60355,,release-11.3.0,passed,544,2020-05-15 19:33:29 UTC,687576543,push
687574905,5382c7cefa13f7d4716874ed518dd4331cac16c7,,release-10.5.0,passed,439,2020-05-15 19:29:25 UTC,687574906,push
687570467,f86f52dfdc3d86d5506b0bb958e28384e4041055,,release-9.4.0,failed,148,2020-05-15 19:16:43 UTC,687570468,push
687548940,9bb0b8f2eff2499017bc1c04afa256ddf64eaa00,,release-12.9.0,passed,580,2020-05-15 18:07:55 UTC,687548941,push
687547421,0e80b7fc96a74faea91aa4ae614a50aea2333dc1,,release-13.3.0,passed,614,2020-05-15 18:02:59 UTC,687547422,push
687538980,60aef7688be6d04120cfc4472423300af57bf2d0,,release-9.4.0,failed,140,2020-05-15 17:36:47 UTC,687538981,push
687537520,f0a5ef27072fbad22aefd4a593a5e36b0ef6bca9,,release-13.3.0,failed,628,2020-05-15 17:34:25 UTC,687537521,push
687537412,e60f334d6a295c36cca95ff9200c879d262aead6,,release-12.9.0,failed,570,2020-05-15 17:31:54 UTC,687537413,push
687537357,3a35c6f1663285cf9c421875e46acae3c416bbe4,,release-11.3.0,passed,513,2020-05-15 17:31:42 UTC,687537358,push
687537247,156c06b62fbed8aaa5513dd47e0bedd3a82d94d5,,release-10.5.0,passed,498,2020-05-15 17:31:23 UTC,687537248,push
687536750,cba7a95c678ee13d73748a0ec064dffd00323aca,,release-9.4.0,failed,139,2020-05-15 17:30:35 UTC,687536751,push
687536131,1f496ac6677325237ef37851e86dc43338d9ea05,,release-9.4.0,canceled,0,,687536132,push
687534195,09717ca312f4c4b6e80956977af15b49d4a8f5f8,,release-11.3.0,passed,533,2020-05-15 17:24:33 UTC,687534196,push
687532883,8312e133be42709f80f74cc5a31bc0f0b145f5e8,,release-10.5.0,passed,460,2020-05-15 17:21:02 UTC,687532884,push
687531679,a3615286aa53bebee7f5bea402e31769b4ada7a5,,release-9.4.0,failed,141,2020-05-15 17:17:09 UTC,687531680,push
687529493,c0a0dbce5a05dd3013fc44942a7e668b17afa9bb,,release-9.4.0,failed,140,2020-05-15 17:10:46 UTC,687529494,push
687528077,92eaf7b268e21aab9c54f41b6e254c1145955467,,release-13.3.0,failed,714,2020-05-15 17:06:04 UTC,687528078,push
687527504,208158bdb16693775f4f5acd621421778e0cd66f,,release-12.9.0,failed,584,2020-05-15 17:03:53 UTC,687527505,push
687526329,2f48149ef76a9589010904842f4d616070070c07,,release-11.3.0,failed,523,2020-05-15 17:00:38 UTC,687526330,push
687524279,948e7c0089ee7e7e94d59bdad154e2c72e59d28c,,release-9.4.0,failed,150,2020-05-15 16:56:14 UTC,687524280,push
687517510,1cdbc0a202a2b2eb7715197828e97a0c04e83887,,release-12.9.0,failed,644,2020-05-15 16:36:04 UTC,687517511,push
687481650,ad179bff5c447019b8789d24322839872614a94f,,release-10.5.0,failed,445,2020-05-15 15:00:27 UTC,687481651,push
687481409,f2af31458a845b6a11db0410ee79bd7db57aa447,,release-11.3.0,failed,564,2020-05-15 14:59:52 UTC,687481410,push
687470403,39fd226ffc82895503feb46a834cd7cd2518e200,,release-10.5.0,failed,457,2020-05-15 14:30:08 UTC,687470404,push
687468115,57e37da172e67c7445a4f8168f1f3eaf508d52fd,,release-9.4.0,failed,141,2020-05-15 14:24:12 UTC,687468116,push
687086024,3a4a375484f9c6d200bc1fb1ad8ccd7d12199969,,release-10.5.0,failed,432,2020-05-14 16:10:26 UTC,687086025,push
687068347,865e07f756a1487c1ca974f7ac24b4ceea16f41a,,release-10.5.0,failed,441,2020-05-14 15:25:23 UTC,687068348,push
687064867,e5732af1ec1c5f8a01482182d8532d82ad7b5250,,release-9.4.0,failed,727,2020-05-14 15:16:04 UTC,687064868,push
686829897,cab023ba8c246f61015e175c6363743c96c45633,,release-10.5.0,failed,554,2020-05-14 02:12:07 UTC,686829898,push
673210692,1f89dd12a9ab48a155ed4592ed7d7bd8d24353af,,csabol/select_added,failed,775,2020-04-09 23:09:54 UTC,673210693,push
