tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
563879411,563879412,4529,fff1f6dc96fdcecba4739769cb51f28f87d2d0c1,java,ok,233,java-maven,"",false,,,,,,,,,"",0,
563879411,563879413,4529,fff1f6dc96fdcecba4739769cb51f28f87d2d0c1,java,ok,246,java-maven,"",false,,,,,,,,,"",0,
563879411,563879414,4529,fff1f6dc96fdcecba4739769cb51f28f87d2d0c1,java,ok,222,java-maven,"",false,,,,,,,,,"",0,
563879411,563879415,4529,fff1f6dc96fdcecba4739769cb51f28f87d2d0c1,java,ok,234,java-maven,"",false,,,,,,,,,"",0,
563879411,563879416,4529,fff1f6dc96fdcecba4739769cb51f28f87d2d0c1,java,ok,229,java-maven,"",false,,,,,,,,,"",0,
563908819,563908820,4530,40c57446d57e13d854d3611616191e5f6edcced6,java,ok,5,java-maven,"",false,,,,,,,,,"",0,
563908819,563908821,4530,40c57446d57e13d854d3611616191e5f6edcced6,java,ok,5,java-gradle,junit,true,false,,0,,,,,,"",,
563908819,563908822,4530,40c57446d57e13d854d3611616191e5f6edcced6,java,ok,5,java-gradle,junit,true,false,,0,,,,,,"",,
563908819,563908823,4530,40c57446d57e13d854d3611616191e5f6edcced6,java,ok,5,java-gradle,junit,true,false,,0,,,,,,"",,
563908819,563908824,4530,40c57446d57e13d854d3611616191e5f6edcced6,java,ok,6,java-gradle,junit,true,false,,0,,,,,,"",,
595018046,595018047,4646,a3b3e612572a96669df025d6c50d4edfd83e1560,java,unknown,,java-ant,"",false,,,,,,,,,"",,
