tr_build_id,tr_job_id,tr_build_number,tr_original_commit,tr_log_lan,tr_log_status,tr_log_setup_time,tr_log_analyzer,tr_log_frameworks,tr_log_bool_tests_ran,tr_log_bool_tests_failed,tr_log_num_tests_ok,tr_log_num_tests_failed,tr_log_num_tests_run,tr_log_num_tests_skipped,tr_log_num_test_suites_run,tr_log_num_test_suites_ok,tr_log_num_test_suites_failed,tr_log_tests_failed,tr_log_testduration,tr_log_buildduration
115354715,115354716,10,0bfb4bf590a19f1f16482ac8f7e7f2e566ccec9b,android,ok,1,plain,"",false,,,,,,,,,"",,
115357045,115357053,11,998893f7ad681702e1f2776c7e39f4b4557a3e31,android,ok,1,plain,"",false,,,,,,,,,"",,
115357226,115357227,12,998893f7ad681702e1f2776c7e39f4b4557a3e31,android,ok,1,plain,"",false,,,,,,,,,"",,
115363637,115363638,13,048251d3a8a8c945c18d9945632fc190c9857e73,android,ok,1,plain,"",false,,,,,,,,,"",,
115363650,115363651,14,048251d3a8a8c945c18d9945632fc190c9857e73,android,ok,1,plain,"",false,,,,,,,,,"",,
115365007,115365008,15,23ec4b181fd57e4f6ccae4f4495139f6b7ccb90a,android,ok,1,plain,"",false,,,,,,,,,"",,
115365013,115365014,16,23ec4b181fd57e4f6ccae4f4495139f6b7ccb90a,android,ok,1,plain,"",false,,,,,,,,,"",,
138450592,138450593,17,143c81d81e14b04bf13ec12e85a5abc14b3641f2,android,broken,0,plain,"",false,,,,,,,,,"",,
138454406,138454407,18,6a2391fb2a7a35b76841cc825b712f0aad82e06d,android,broken,1,plain,"",false,,,,,,,,,"",,
147154726,147154727,19,d131681ad819bee6d745b5c019dfa382a9977594,android,broken,0,plain,"",false,,,,,,,,,"",,
147220786,147220788,20,26a2088cf5bfd65857d39f1abee6eda42f24ed42,android,broken,1,plain,"",false,,,,,,,,,"",,
148061773,148061774,21,db543a77a24eef7620549981ef6d1b8788c66c71,android,broken,1,plain,"",false,,,,,,,,,"",,
148061794,148061795,22,db543a77a24eef7620549981ef6d1b8788c66c71,android,broken,1,plain,"",false,,,,,,,,,"",,
148063030,148063031,23,f1bbf1f6b5d5f654696372c353f49d4a4e5fad5a,android,broken,1,plain,"",false,,,,,,,,,"",,
148063034,148063035,23,f1bbf1f6b5d5f654696372c353f49d4a4e5fad5a,android,broken,1,plain,"",false,,,,,,,,,"",,
148064388,148064389,24,646de68b5e0ed48f9f51ff7c26991649346da82e,android,broken,1,plain,"",false,,,,,,,,,"",,
148064393,148064394,24,646de68b5e0ed48f9f51ff7c26991649346da82e,android,broken,1,plain,"",false,,,,,,,,,"",,
148066665,148066666,25,d611462052911925170d6b8b1dca9e26cdecabdc,android,ok,1,plain,"",false,,,,,,,,,"",,
148066667,148066668,26,d611462052911925170d6b8b1dca9e26cdecabdc,android,ok,1,plain,"",false,,,,,,,,,"",,
157819430,157819431,27,c9ecee0cd49e574961092409a4ab8ffbd3d4380f,android,ok,1,plain,"",false,,,,,,,,,"",,
157819436,157819437,28,c9ecee0cd49e574961092409a4ab8ffbd3d4380f,android,ok,2,plain,"",false,,,,,,,,,"",,
